passengers,distance,fare,tip,tolls,total
1,0.79,5.0,0.0,0.0,9.3
1,3.63,15.0,1.0,0.0,19.3
1,1.05,6.5,1.0,0.0,11.3
1,2.12,13.0,0.0,0.0,16.3
1,2.6,10.5,2.0,0.0,16.3
2,1.13,6.5,2.16,0.0,12.96
1,13.45,36.0,0.0,0.0,37.8
1,1.07,5.5,1.76,0.0,10.56
1,1.0,6.5,1.95,0.0,11.75
2,1.57,8.5,1.8,0.0,14.6
1,1.3,7.5,2.25,0.0,13.55
3,2.6,11.0,4.4,0.0,19.2
1,1.1,6.5,2.15,0.0,12.95
1,11.93,39.5,9.71,5.76,58.27
1,0.65,5.0,1.86,0.0,11.16
1,0.83,5.5,0.0,0.0,9.3
1,1.79,9.5,1.0,0.0,13.8
1,2.07,10.0,2.7,0.0,13.5
1,0.9,8.5,2.5,0.0,15.3
1,3.2,12.5,2.0,0.0,17.8
2,5.09,19.0,5.58,0.0,27.88
3,6.71,34.0,7.46,0.0,44.76
1,2.2,8.5,2.45,0.0,14.75
3,0.92,5.5,0.0,0.0,8.8
1,2.0,9.5,1.0,0.0,14.8
2,1.8,11.0,1.0,0.0,15.3
1,2.13,12.0,0.0,0.0,15.8
1,1.09,6.0,1.96,0.0,11.76
1,1.9,10.5,0.0,0.0,13.8
1,0.2,3.0,0.0,0.0,7.3
1,1.8,11.0,0.0,0.0,14.3
1,1.4,8.5,2.35,0.0,14.15
5,0.47,3.5,0.0,0.0,6.8
1,0.4,4.5,0.0,0.0,8.8
1,1.1,7.5,1.0,0.0,12.3
1,9.9,28.0,7.51,5.76,45.07
1,2.75,13.0,3.46,0.0,20.76
6,1.7,10.5,2.75,0.0,16.55
1,10.82,36.0,7.96,0.0,47.76
1,4.1,15.0,3.75,0.0,22.55
1,1.5,8.5,0.0,0.0,11.8
2,2.41,9.5,3.32,0.0,16.62
2,8.55,26.0,7.01,5.76,42.07
1,18.99,50.5,10.26,0.0,61.56
5,3.27,15.0,0.92,0.0,19.22
3,1.34,7.5,2.16,0.0,12.96
1,1.6,7.5,2.25,0.0,13.55
1,0.5,6.5,1.95,0.0,11.75
1,1.22,8.5,0.0,0.0,11.8
1,0.9,5.0,0.0,0.0,8.3
1,1.3,6.5,2.45,0.0,12.25
1,3.8,15.0,3.75,0.0,22.55
1,0.33,5.0,1.76,0.0,10.56
1,2.4,9.5,5.0,0.0,17.8
3,1.03,5.5,1.76,0.0,10.56
1,1.7,11.0,3.05,0.0,18.35
1,1.11,10.0,2.66,0.0,15.96
1,0.6,4.0,1.0,0.0,8.8
1,0.53,6.5,2.16,0.0,12.96
6,2.11,12.0,0.0,0.0,15.3
1,1.05,13.5,0.0,0.0,17.8
1,3.09,12.0,3.06,0.0,18.36
1,1.9,11.5,1.0,0.0,16.3
4,3.04,12.0,3.16,0.0,18.96
1,1.5,7.0,0.0,0.0,10.3
2,1.15,7.0,2.06,0.0,12.36
1,1.2,7.0,1.75,0.0,10.55
5,0.99,6.5,0.0,0.0,9.8
1,0.2,4.0,0.0,0.0,7.3
1,1.15,7.5,1.0,0.0,12.8
5,2.54,9.5,2.66,0.0,15.96
2,3.48,13.0,3.26,0.0,19.56
4,1.11,7.0,2.16,0.0,12.96
1,1.0,6.5,2.05,0.0,12.35
1,2.17,14.5,1.0,0.0,18.8
1,9.65,33.0,10.76,5.76,53.82
1,4.2,15.5,4.8,0.0,24.1
1,6.5,21.5,2.0,0.0,27.3
1,1.5,7.5,1.7,0.0,13.0
1,8.84,32.0,0.0,5.76,42.06
2,1.46,8.0,1.2,0.0,12.5
1,4.7,15.5,3.26,0.0,19.56
1,1.5,6.0,1.95,0.0,11.75
1,1.04,8.5,3.54,0.0,15.34
1,0.6,5.0,0.0,0.0,9.3
5,2.47,17.5,4.26,0.0,25.56
1,9.6,31.0,0.0,0.0,32.3
1,1.45,9.5,1.0,0.0,14.8
1,1.8,8.0,2.25,0.0,13.55
1,0.82,7.0,0.0,0.0,10.3
1,1.72,8.0,3.39,0.0,14.69
1,0.73,4.5,1.95,0.0,9.75
2,0.85,7.5,2.16,0.0,12.96
1,2.25,13.0,0.0,0.0,13.8
1,1.9,11.0,1.5,0.0,16.8
2,0.88,9.0,3.08,0.0,15.38
1,6.34,27.5,6.0,0.0,36.8
1,1.5,7.0,1.62,0.0,12.42
1,1.8,9.5,0.0,0.0,10.3
1,0.71,4.5,1.11,0.0,9.91
1,3.35,14.0,0.0,0.0,17.3
1,1.94,13.0,4.08,0.0,20.38
