pickup,dropoff,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-04 16:11:55,2019-03-04 16:19:00,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019-03-23 11:48:50,2019-03-23 12:06:14,East Harlem South,Midtown Center,Manhattan,Manhattan
2019-03-18 21:27:14,2019-03-18 21:34:16,Murray Hill,Midtown Center,Manhattan,Manhattan
2019-03-15 12:36:05,2019-03-15 12:54:28,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-23 20:50:49,2019-03-23 21:02:07,Midtown Center,East Harlem South,Manhattan,Manhattan
2019-03-18 16:03:14,2019-03-18 16:10:36,Gramercy,Murray Hill,Manhattan,Manhattan
2019-03-20 18:49:24,2019-03-20 19:12:40,JFK Airport,Sunnyside,Queens,Queens
2019-03-13 07:34:09,2019-03-13 07:38:18,East Chelsea,Garment District,Manhattan,Manhattan
2019-03-29 08:48:46,2019-03-29 08:56:07,Murray Hill,Union Sq,Manhattan,Manhattan
2019-03-18 19:57:00,2019-03-18 20:06:22,Central Park,Midtown North,Manhattan,Manhattan
2019-03-17 22:47:36,2019-03-17 22:55:32,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-06 20:00:28,2019-03-06 20:11:50,Upper East Side South,Upper West Side North,Manhattan,Manhattan
2019-03-12 17:05:47,2019-03-12 17:12:12,Central Park,Upper West Side North,Manhattan,Manhattan
2019-03-15 10:56:56,2019-03-15 11:37:02,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens
2019-03-01 16:10:56,2019-03-01 16:15:58,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019-03-20 21:17:25,2019-03-20 21:22:39,Clinton East,Midtown Center,Manhattan,Manhattan
2019-03-04 13:06:09,2019-03-04 13:16:31,Midtown Center,Upper East Side North,Manhattan,Manhattan
2019-03-31 17:17:53,2019-03-31 17:29:00,East Harlem South,Manhattan Valley,Manhattan,Manhattan
2019-03-06 18:59:05,2019-03-06 19:11:27,Gramercy,Union Sq,Manhattan,Manhattan
2019-03-23 18:35:01,2019-03-23 18:47:39,UN/Turtle Bay South,East Village,Manhattan,Manhattan
2019-03-11 11:36:07,2019-03-11 11:57:43,Financial District North,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019-03-29 10:25:21,2019-03-29 11:14:27,Times Sq/Theatre District,Williamsburg (North Side),Manhattan,Brooklyn
2019-03-28 05:39:40,2019-03-28 05:47:07,Lenox Hill West,Garment District,Manhattan,Manhattan
2019-03-05 15:39:52,2019-03-05 15:44:51,Clinton East,Midtown North,Manhattan,Manhattan
2019-03-13 16:40:50,2019-03-13 16:51:55,Central Park,Upper East Side North,Manhattan,Manhattan
2019-03-31 15:21:11,2019-03-31 15:37:28,East Village,West Village,Manhattan,Manhattan
2019-03-21 21:31:56,2019-03-21 21:49:14,Meatpacking/West Village West,East Village,Manhattan,Manhattan
2019-03-11 20:45:26,2019-03-11 20:50:27,East Village,Gramercy,Manhattan,Manhattan
2019-03-26 12:52:27,2019-03-26 13:07:01,Sutton Place/Turtle Bay North,Midtown South,Manhattan,Manhattan
